data;m;TOC;TEP;;;;;
08/01/2019;0;961;20,0;;;;;
08/01/2019;5;956;11,0;;;;;
08/01/2019;10;952;18,2;;;;;
08/01/2019;15;956;14,0;;;;;
08/01/2019;20;963;18,0;;;;;
08/01/2019;50;859;15,0;;;;;
08/01/2019;100;741;11,4;;;;;
08/01/2019;350;761;3,4;;;;;
04/02/2019;0;907;57,1;;;;;
04/02/2019;5;896;62,1;;;;;
04/02/2019;10;887;57,6;;;;;
04/02/2019;15;874;35,5;;;;;
04/02/2019;20;886;34,5;;;;;
04/02/2019;50;872;20,9;;;;;
04/02/2019;100;712;8,9;;;;;
04/02/2019;350;704;0,0;;;;;
04/03/2019;0;897;44,6;;;;;
04/03/2019;5;908;61,2;;;;;
04/03/2019;10;906;71,0;;;;;
04/03/2019;15;906;35,3;;;;;
04/03/2019;20;902;33,3;;;;;
04/03/2019;50;820;18,8;;;;;
04/03/2019;100;744;12,9;;;;;
04/03/2019;350;728;0,0;;;;;
09/04/2019;0;1113;57,1;;;;;
09/04/2019;5;1087;113,0;;;;;
09/04/2019;10;1039;56,2;;;;;
09/04/2019;15;1087;240,3;;;;;
09/04/2019;20;1094;36,3;;;;;
09/04/2019;50;972;0,0;;;;;
09/04/2019;100;986;0,0;;;;;
09/04/2019;350;1098;0,0;;;;;
13/05/2019;0;932;60;;;;;
13/05/2019;5;932;61;;;;;
13/05/2019;10;907;64;;;;;
13/05/2019;15;974;107;;;;;
13/05/2019;20;885;107;;;;;
13/05/2019;50;873;23;;;;;
13/05/2019;100;816;23;;;;;
13/05/2019;350;762;93;;;;;
10/06/2019;0;1265;1463;;;;;
10/06/2019;5;1276;1051;;;;;
10/06/2019;10;1165;895;;;;;
10/06/2019;15;1052;232;;;;;
10/06/2019;20;1049;176;;;;;
10/06/2019;50;974;123;;;;;
10/06/2019;100;915;66;;;;;
10/06/2019;350;937;0;;;;;
01/07/2019;0;1160;50,7;;;;;
01/07/2019;5;1249;56,7;;;;;
01/07/2019;10;1239;52,7;;;;;
01/07/2019;15;1126;45,4;;;;;
01/07/2019;20;1032;24,3;;;;;
01/07/2019;50;907;12,3;;;;;
01/07/2019;100;803;12,7;;;;;
01/07/2019;350;772;0,0;;;;;
05/08/2019;0;1081;77,7;;;;;
05/08/2019;5;1092;100,5;;;;;
05/08/2019;10;1107;69,5;;;;;
05/08/2019;15;1048;78,6;;;;;
05/08/2019;20;1009;85,0;;;;;
05/08/2019;50;835;32,0;;;;;
05/08/2019;100;856;27,4;;;;;
05/08/2019;350;814;0,0;;;;;
16/09/2019;0;1264;46,6;;;;;
16/09/2019;5;1315;131,3;;;;;
16/09/2019;10;1253;105,3;;;;;
16/09/2019;15;1099;102,4;;;;;
16/09/2019;20;1056;81,6;;;;;
16/09/2019;50;912;29,0;;;;;
16/09/2019;100;808;10,5;;;;;
16/09/2019;350;835;0,0;;;;;
15/10/2019;0;1247;183,0;;;;;
15/10/2019;5;1163;34,2;;;;;
15/10/2019;10;1155;78,6;;;;;
15/10/2019;15;1069;40,6;;;;;
15/10/2019;20;1042;30,3;;;;;
15/10/2019;50;1031;27,7;;;;;
15/10/2019;100;1043;7,2;;;;;
15/10/2019;350;900;0,0;;;;;
04/11/2019;0;1099;690;;;;;
04/11/2019;5;1156;912;;;;;
04/11/2019;10;1144;643;;;;;
04/11/2019;15;1158;401;;;;;
04/11/2019;20;1195;256;;;;;
04/11/2019;50;989;236;;;;;
04/11/2019;100;887;176;;;;;
04/11/2019;350;800;91;;;;;
15/12/2019;0;893;1653;;;;;
