Year;month;Temp.;O2;O2%;pH;Cond. 20 °C;Alc.;N-NO3;N-NH4;RP;TP;TN;Si;Ca;Mg;Na;K;Cl;SO4;int1_16S;16S;int1;int_fito
2020;1;8,36;9,9;87;7,58;138,5;0,793;759;4;5;7,5;0,83;1,58;20,6;3,46;2,86;1,39;3,04;25;4,13E-03;76100;3,14E+02;0,00E+00
2020;2;7,74;10,4;89;7,56;144,2;0,812;769;4;5;6;0,9;1,59;21,1;3,53;2,91;1,42;3,14;25,9;1,12E-03;389000;4,36E+02;1,48E-02
2020;3;7,85;10,7;92;7,67;145,5;0,819;742;6;2,6;5,49;0,91;1,42;21,4;3,59;2,97;1,43;3,18;26,4;5,60E-04;2590000;1,45E+03;4,53E-03
2020;5;13,48;10,6;104;8,01;144,1;0,821;699;15;3;6,1;0,79;0,72;21,1;3,54;2,91;1,41;3,23;26,7;2,44E-04;2270000;5,54E+02;1,03E-02
2020;6;13,87;10;99;7,92;138,4;0,783;679;21;3;6,7;0,82;0,96;20,2;3,45;2,73;1,34;2,99;26,8;3,74E-04;2600000;9,73E+02;6,03E-03
2020;7;15,86;10,1;105;8,26;134,8;0,775;563;11;3;8;0,71;0,68;19,7;3,36;2,74;1,36;2,75;24,2;2,75E-04;2160000;5,95E+02;0,00E+00
2020;8;18,73;9,3;103;8,44;135,4;0,769;496;10;3;6,7;0,67;0,61;19,8;3,37;2,66;1,36;2,71;25,3;1,80E-04;1440000;2,59E+02;0,00E+00
2020;9;17,67;8,5;93;8,3;138,5;0,776;507;8;4;7,2;0,66;0,87;19,9;3,4;2,71;1,38;2,81;26,3;8,61E-04;546000;4,70E+02;0,00E+00
2020;10;13,93;9;89;7,68;132,9;0,769;587;8;2;5,6;0,73;1,26;19,2;3,23;2,6;1,42;2,63;23,9;4,86E-03;910000;4,42E+03;0,00E+00
2020;11;11,04;10,1;94;7,7;136,5;0,784;627;5;3;5;0,72;1,39;19,7;3,32;2,69;1,45;2,7;24,9;4,68E-03;472000;2,21E+03;0,00E+00
2020;1,20E+01;9,71;9,6;87;7,67;139;0,8;653;5;4;5;0,8;1,39;20;3,4;2,7;1,4;2,8;24,8;3,02E-03;529000;1,60E+03;0,00E+00
2021;1;7,81;9,8;84;7,63;144;0,82;714;4;4;5,3;0,81;1,53;20,73;3,5;2,8;1,5;3;26,5;6,26E-03;179000;1,12E+03;0,00E+00
2021;2;7,28;9,6;81;7,51;146;0,83;745;2;4;5,8;0,82;1,66;21,72;3,6;2,9;1,5;3,1;27,2;4,19E-03;185000;7,76E+02;3,31E-02
2021;3;7,82;10,9;93;7,75;149;0,84;722;11;3;6,9;0,82;1,57;21,63;3,7;3;1,5;3,2;27,1;4,77E-03;413000;1,97E+03;1,68E-02
2021;4;8,79;10,7;94;7,7;150;0,84;737;11;3;7;0,82;1,59;21,54;3,6;3;1,5;3,2;27,9;4,89E-04;595000;2,91E+02;1,65E-02
2021;5;11;12,1;100;8,61;148;0,84;642;17;2;7,7;0,85;0,64;21,46;3,6;3,1;1,5;3,3;26,8;6,01E-04;426000;2,56E+02;0,00E+00
2021;6;14,28;10,7;107;8,23;144;0,83;647;18;2;6,4;0,8;0,74;20,68;3,5;2,9;1,4;3,2;26,5;4,78E-04;602000;2,88E+02;0,00E+00
2021;7;16,32;10,4;109;8,18;140;0,79;618;18;3;8,6;0,76;0,72;19,99;3,3;2,7;1,4;2,9;26,4;4,86E-04;449000;2,18E+02;1,06E-01
2021;8;16,67;9;96;7,98;138;0,8;621;9;3;6,5;0,74;0,89;19,78;3,2;2,6;1,4;2,8;24,7;3,34E-04;644000;2,15E+02;0,00E+00
2021;9;17,11;9,3;99;7,91;137;0,77;539;18;3;10,9;0,72;0,97;19,83;3,2;2,5;1,5;2,6;25,3;1,94E-04;732000;1,42E+02;0,00E+00
2021;10;15,43;8,8;90;7,9;138;0,79;576;10;4;6,9;0,74;1,06;19,69;3,2;2,6;1,4;2,7;25,2;1,23E-03;451000;5,55E+02;0,00E+00
2021;11;12,38;9,8;94;7,81;141;0,81;637;9;2;6,6;0,81;1,12;19,77;3,3;2,7;1,4;2,8;24,8;8,96E-04;472000;4,23E+02;0,00E+00
