Sample;FOODWEB;Treatment;Daphnia;INTf;flg;rot;dap;tetA;qnrS;copiRea;;;;cells_bact;cells_Flag
1;B;Bact;No;0.041816619;0;0;0;0.000285681;0.003568151;0;;L1.1 1:2;3.76E-05;903000;0
2;B;Bact;No;0.066996323;0;0;0;0.000471035;0.005547693;1,72E-04;;L1.2 1:2;4.55E-05;1641000;0
3;B;Bact;No;0.045691572;0;0;0;0.000284977;0.001718326;2,71E-04;;L1.3 1:2;8.83E-05;1463000;0
4;BF;Bact & Flage;No;0.018505207;1;0;0;0.000158639;0.000696511;2,13E-04;;L2.1 1:2;5.19E-05;1089000;44000
5;BF;Bact & Flage;No;0.053299709;1;0;0;0.000241402;0.00160767;1,37E-04;;L2.2 1:2;8.40E-05;1563000;23000
6;BF;Bact & Flage;No;0.058614014;1;0;0;0.000349231;0.003967502;2,38E-04;;L2.3 1:2;3.27E-05;1398000;22000
7;BR;Bact & Rot;No;0.036280762;0;1;0;0.000300171;0.001721814;3,87E-04;;L3.1 1:2;2.38E-05;1595000;0
8;BR;Bact & Rot;No;0.052824138;0;1;0;0.000407911;0.004864347;2,24E-04;;L3.2 1:2;1.39E-04;1222000;0
9;BR;Bact & Rot;No;0.025182007;0;1;0;0.000583219;0.002079263;9,71E-05;;L3.3 1:2;7.87E-05;1348000;0
10;BD;Bact;Yes;0.033259314;0;0;1;0.000464086;0.000665893;3,56E-05;;L4.1 1:2;5.13E-05;1277000;0
11;BD;Bact;Yes;0.051070808;0;0;1;0;0.002120183;2,60E-07;;L4.2 1:2;6.56E-05;1241000;0
12;BD;Bact;Yes;0.088425602;0;0;1;0.000633607;0.001251297;1,39E-04;;L4.3 1:2;3.18E-05;1211000;0
13;BFR;Bact & Flage & Rot;No;5.839.824.414;1;1;0;0.052960145;0.017669904;8,07E-07;;L5.1 1:2;7.71E-05;1316000;30000
14;BFR;Bact & Flage & Rot;No;0.563371233;1;1;0;0;0;1,58E-07;;L5.2 1:2;1.18E-04;1383000;33000
15;BFR;Bact & Flage & Rot;No;0.073793763;1;1;0;2.28E-05;0.001058473;7,25E-05;;L5.3 1:2;4.81E-05;1371000;30000
16;BFD;Bact & Flage;Yes;0.050514464;1;0;1;0.000277755;0.001206176;1,13E-04;;L6.1 1:2;3.67E-05;1172000;19000
17;BFD;Bact & Flage;Yes;0.626267337;1;0;1;0;0;1,34E-07;;L6.2 1:2;6.07E-05;1256000;19000
18;BFD;Bact & Flage;Yes;0.073342666;1;0;1;0.0005557;0.000211795;6,46E-05;;L6.3 1:2;9.81E-05;1171000;10000
19;BRD;Bact & Rot;Yes;0.065897529;0;1;1;0.000541537;0.000595278;2,22E-06;;;;1119000;0
20;BRD;Bact & Rot;Yes;1.302.897.837;0;1;1;0;0;1,32E-07;;;;1045000;0
21;BRD;Bact & Rot;Yes;0;0;1;1;0;0;0,00E+00;;;;1305000;0
22;BFRD;Bact & Flage & Rot;Yes;0.005899823;1;1;1;0.000477238;0.001082297;2,06E-05;;;;1184000;29000
23;BFRD;Bact & Flage & Rot;Yes;0.093257948;1;1;1;5.66E-06;0.002930624;1,55E-04;;;;1083000;27000
24;BFRD;Bact & Flage & Rot;Yes;0.190813517;1;1;1;0;0;1,34E-07;;;;1144000;12000
